Runtime,Processor,MatrixSize,MatrixOperation,Trial
0.006689072,GPU,20,Addition,5
0.006715775,GPU,40,Addition,1
0.006691694,GPU,40,Addition,2
0.007096767,GPU,40,Addition,3
0.006767035,GPU,40,Addition,4
0.006821871,GPU,40,Addition,5
0.008438826,GPU,80,Addition,1
0.006768942,GPU,80,Addition,2
0.006777525,GPU,80,Addition,3
0.006748438,GPU,80,Addition,4
0.006622314,GPU,80,Addition,5
0.006753206,GPU,160,Addition,1
0.006635666,GPU,160,Addition,2
0.008101463,GPU,160,Addition,3
0.006666422,GPU,160,Addition,4
0.006638527,GPU,160,Addition,5
0.006897211,GPU,320,Addition,1
0.006696463,GPU,320,Addition,2
0.008470535,GPU,320,Addition,3
0.006931305,GPU,320,Addition,4
0.00738883,GPU,320,Addition,5
0.00655365,GPU,640,Addition,1
0.006502867,GPU,640,Addition,2
0.006640434,GPU,640,Addition,3
0.006725311,GPU,640,Addition,4
0.006741524,GPU,640,Addition,5
0.007200241,GPU,1280,Addition,1
0.007092237,GPU,1280,Addition,2
0.01200223,GPU,1280,Addition,3
0.011457205,GPU,1280,Addition,4
0.011067629,GPU,1280,Addition,5
0.006871223,GPU,2560,Addition,1
0.006925583,GPU,2560,Addition,2
0.006436825,GPU,2560,Addition,3
0.006400108,GPU,2560,Addition,4
0.006696463,GPU,2560,Addition,5
0.023349285,GPU,10,Multiplication,1
0.008390188,GPU,10,Multiplication,2
0.009738922,GPU,10,Multiplication,3
0.010872602,GPU,10,Multiplication,4
0.008431435,GPU,10,Multiplication,5
0.008605957,GPU,20,Multiplication,1
0.008709908,GPU,20,Multiplication,2
0.009181976,GPU,20,Multiplication,3
0.00876236,GPU,20,Multiplication,4
0.008559465,GPU,20,Multiplication,5
0.008393288,GPU,40,Multiplication,1
0.008482695,GPU,40,Multiplication,2
0.008392334,GPU,40,Multiplication,3
0.008416176,GPU,40,Multiplication,4
0.008292913,GPU,40,Multiplication,5
0.009845257,GPU,80,Multiplication,1
0.009139776,GPU,80,Multiplication,2
0.009043455,GPU,80,Multiplication,3
0.008636713,GPU,80,Multiplication,4
0.008564949,GPU,80,Multiplication,5
0.008630991,GPU,160,Multiplication,1
0.008578777,GPU,160,Multiplication,2
0.008558035,GPU,160,Multiplication,3
0.008576632,GPU,160,Multiplication,4
0.008617163,GPU,160,Multiplication,5
0.009922028,GPU,320,Multiplication,1
0.008571148,GPU,320,Multiplication,2
0.009797335,GPU,320,Multiplication,3
0.008650303,GPU,320,Multiplication,4
0.008684158,GPU,320,Multiplication,5
0.058698177,GPU,640,Multiplication,1
0.064900875,GPU,640,Multiplication,2
0.065196276,GPU,640,Multiplication,3
0.064309835,GPU,640,Multiplication,4
0.066027403,GPU,640,Multiplication,5
0.54134059,GPU,1280,Multiplication,1
0.530255079,GPU,1280,Multiplication,2
0.532537937,GPU,1280,Multiplication,3
0.538181782,GPU,1280,Multiplication,4
0.547720432,GPU,1280,Multiplication,5
0.00849843,GPU,2560,Multiplication,1
0.008300304,GPU,2560,Multiplication,2
0.008370638,GPU,2560,Multiplication,3
0.008469582,GPU,2560,Multiplication,4
0.013769388,GPU,2560,Multiplication,5
0.131092072,GPU,10,Invertion,1
0.137053967,GPU,10,Invertion,2
0.145218372,GPU,10,Invertion,3
0.147525311,GPU,10,Invertion,4
0.116438627,GPU,10,Invertion,5
0.131411552,GPU,20,Invertion,1
0.138987541,GPU,20,Invertion,2
0.135003328,GPU,20,Invertion,3
0.159111977,GPU,20,Invertion,4
0.161336184,GPU,20,Invertion,5
0.234874964,GPU,40,Invertion,1
0.217092514,GPU,40,Invertion,2
0.219540834,GPU,40,Invertion,3
0.242449045,GPU,40,Invertion,4
0.250657558,GPU,40,Invertion,5
0.381275415,GPU,80,Invertion,1
0.384296894,GPU,80,Invertion,2
0.382103205,GPU,80,Invertion,3
0.392663002,GPU,80,Invertion,4
0.403994799,GPU,80,Invertion,5
0.70552063,GPU,160,Invertion,1
0.699043512,GPU,160,Invertion,2
0.694360971,GPU,160,Invertion,3
0.702489138,GPU,160,Invertion,4
0.691741228,GPU,160,Invertion,5
1.810984612,GPU,320,Invertion,1
1.820739031,GPU,320,Invertion,2
1.820263863,GPU,320,Invertion,3
1.819141388,GPU,320,Invertion,4
1.830150127,GPU,320,Invertion,5
4.449072599,GPU,640,Invertion,1
4.447137833,GPU,640,Invertion,2
4.456287622,GPU,640,Invertion,3
4.468697309,GPU,640,Invertion,4
4.43754673,GPU,640,Invertion,5
11.5440073,GPU,1280,Invertion,1
11.54629207,GPU,1280,Invertion,2
11.47940922,GPU,1280,Invertion,3
