"Runtime","Processor","MatrixSize","MatrixOperation","Trial"
0.0205986499786377,"CPU",10,"Addition",1
0.018714427947998,"CPU",10,"Addition",2
0.0186355113983154,"CPU",10,"Addition",3
0.018470287322998,"CPU",10,"Addition",4
0.018669605255127,"CPU",10,"Addition",5
0.0232841968536377,"CPU",20,"Addition",1
0.0237340927124023,"CPU",20,"Addition",2
0.0214824676513672,"CPU",20,"Addition",3
0.0230603218078613,"CPU",20,"Addition",4
0.0221009254455566,"CPU",20,"Addition",5
0.0282597541809082,"CPU",40,"Addition",1
0.0305099487304688,"CPU",40,"Addition",2
0.0252101421356201,"CPU",40,"Addition",3
0.0272436141967773,"CPU",40,"Addition",4
0.0276947021484375,"CPU",40,"Addition",5
0.0360202789306641,"CPU",80,"Addition",1
0.0309438705444336,"CPU",80,"Addition",2
0.0314586162567139,"CPU",80,"Addition",3
0.0383913516998291,"CPU",80,"Addition",4
0.0313320159912109,"CPU",80,"Addition",5
0.0654501914978027,"CPU",160,"Addition",1
0.064098596572876,"CPU",160,"Addition",2
0.0635955333709717,"CPU",160,"Addition",3
0.0620958805084229,"CPU",160,"Addition",4
0.0664801597595215,"CPU",160,"Addition",5
0.742237091064453,"CPU",320,"Addition",1
0.703492403030396,"CPU",320,"Addition",2
0.708579301834106,"CPU",320,"Addition",3
0.703595161437988,"CPU",320,"Addition",4
0.709611177444458,"CPU",320,"Addition",5
2.79651570320129,"CPU",640,"Addition",1
2.83361148834229,"CPU",640,"Addition",2
2.86884093284607,"CPU",640,"Addition",3
2.83177137374878,"CPU",640,"Addition",4
2.89458537101746,"CPU",640,"Addition",5
16.4049134254456,"CPU",1280,"Addition",1
16.3528752326965,"CPU",1280,"Addition",2
16.2526490688324,"CPU",1280,"Addition",3
16.3457865715027,"CPU",1280,"Addition",4
16.6021876335144,"CPU",1280,"Addition",5
0.0622241497039795,"CPU",10,"Multiplication",1
0.0306844711303711,"CPU",10,"Multiplication",2
0.0309677124023438,"CPU",10,"Multiplication",3
0.0313127040863037,"CPU",10,"Multiplication",4
0.0311520099639893,"CPU",10,"Multiplication",5
0.0563347339630127,"CPU",20,"Multiplication",1
0.047276496887207,"CPU",20,"Multiplication",2
0.0378291606903076,"CPU",20,"Multiplication",3
0.0384328365325928,"CPU",20,"Multiplication",4
0.0373160839080811,"CPU",20,"Multiplication",5
0.0611240863800049,"CPU",40,"Multiplication",1
0.0579776763916016,"CPU",40,"Multiplication",2
0.0588698387145996,"CPU",40,"Multiplication",3
0.0619399547576904,"CPU",40,"Multiplication",4
0.0550572872161865,"CPU",40,"Multiplication",5
0.248364448547363,"CPU",80,"Multiplication",1
0.219273090362549,"CPU",80,"Multiplication",2
0.224665403366089,"CPU",80,"Multiplication",3
0.250291585922241,"CPU",80,"Multiplication",4
0.241474151611328,"CPU",80,"Multiplication",5
1.39838910102844,"CPU",160,"Multiplication",1
1.4079864025116,"CPU",160,"Multiplication",2
1.41267418861389,"CPU",160,"Multiplication",3
1.40367889404297,"CPU",160,"Multiplication",4
1.41270089149475,"CPU",160,"Multiplication",5
11.9149479866028,"CPU",320,"Multiplication",1
11.9620530605316,"CPU",320,"Multiplication",2
11.9900515079498,"CPU",320,"Multiplication",3
12.0132782459259,"CPU",320,"Multiplication",4
11.9882462024689,"CPU",320,"Multiplication",5
82.7461383342743,"CPU",640,"Multiplication",1
82.7304031848907,"CPU",640,"Multiplication",2
82.7021584510803,"CPU",640,"Multiplication",3
86.0708332061768,"CPU",640,"Multiplication",4
82.8301675319671,"CPU",640,"Multiplication",5
648.143119096756,"CPU",1280,"Multiplication",1
651.576510906219,"CPU",1280,"Multiplication",2
648.237835168839,"CPU",1280,"Multiplication",3
652.335140705109,"CPU",1280,"Multiplication",4
652.830926179886,"CPU",1280,"Multiplication",5
0.140018701553345,"CPU",10,"Inversion",1
0.0835976600646973,"CPU",10,"Inversion",2
0.081862211227417,"CPU",10,"Inversion",3
0.0909245014190674,"CPU",10,"Inversion",4
0.0901138782501221,"CPU",10,"Inversion",5
0.251689910888672,"CPU",20,"Inversion",1
0.225263118743897,"CPU",20,"Inversion",2
0.217201471328735,"CPU",20,"Inversion",3
0.217262744903564,"CPU",20,"Inversion",4
0.22588849067688,"CPU",20,"Inversion",5
0.411690950393677,"CPU",40,"Inversion",1
0.403223037719727,"CPU",40,"Inversion",2
0.396636486053467,"CPU",40,"Inversion",3
0.391064643859863,"CPU",40,"Inversion",4
0.405847072601318,"CPU",40,"Inversion",5
1.06733822822571,"CPU",80,"Inversion",1
1.031986951828,"CPU",80,"Inversion",2
